학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000001967,서울영서초등학교,초등학교,1979-09-28,공립,본교,운영,서울특별시 구로구 구로동 165-1,서울특별시 구로구 도림로20길 57,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.48842542,126.8947429,2025-03-21,190691.15634448573,543224.7002948181
B000023122,심인고등학교,고등학교,1957-03-28,사립,본교,운영,대구광역시 달성군 다사읍 죽곡리 816,대구광역시 달성군 다사읍 대실역남로1길 5,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2013-11-29,2024-11-08,35.85311035,128.4656693,2025-03-21,332399.35458981653,362738.1107526674
B000003216,문정초등학교,초등학교,1997-03-01,공립,본교,운영,광주광역시 북구 문흥동 962-1,광주광역시 북구 대천로169번길 7,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2024-11-08,35.18921166,126.9213792,2025-03-21,192839.41080712466,288089.29202424275
B000009268,평촌중학교,중학교,1992-09-01,공립,본교,운영,경기도 안양시 동안구 평촌동 899-5,경기도 안양시 동안구 관평로 127,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2024-11-08,37.38854868,126.9617348,2025-03-21,196611.36000289515,532135.2757772986
B000008949,광주수피아여자중학교,중학교,1908-04-01,사립,본교,운영,광주광역시 남구 양림동 242,광주광역시 남구 백서로 13,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2024-11-08,35.13746851,126.9091245,2025-03-21,191718.03890888402,282349.67124037613
B000007569,신안초등학교,초등학교,1991-03-01,공립,본교,운영,경상남도 진주시 신안동 475,경상남도 진주시 평거로139번길 8,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2024-11-08,35.18243085,128.068497,2025-03-21,297326.0662693096,287857.0953019364
B000009248,부천여월중학교,중학교,1996-03-01,공립,본교,운영,경기도 부천시 오정구 여월동 68,경기도 부천시 오정구 성곡로57번길 25,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2024-11-08,37.51725867,126.7977088,2025-03-21,182116.41891572525,546438.8413087268
B000005202,어론초등학교,초등학교,1933-04-01,공립,본교,운영,강원특별자치도 인제군 남면 어론리 686-1,강원특별자치도 인제군 남면 설악로 198,7801000,강원특별자치도교육청,7962000,강원특별자치도인제교육지원청,2013-11-29,2024-11-08,37.93269507,128.0620295,2025-03-21,293367.1728834248,593061.4117811027
B000013442,대정고등학교,고등학교,1952-06-02,공립,본교,운영,제주특별자치도 서귀포시 대정읍 상모리 3428,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2024-11-08,33.23192559,126.2605815,2025-03-21,131079.55011790575,71215.81209783908
B000011457,충남기계공업고등학교,고등학교,1963-03-06,공립,본교,운영,대전광역시 중구 문화동 391,대전광역시 중구 산성로 154,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2024-11-08,36.31211732,127.4027103,2025-03-21,236166.3193258799,412753.0482556793
